Bill Credits ID,Date,Amount (BCY),Created Time,Amount (FCY),Last Modified Time
4198696000019239118,03 Mar 2025,"CRC 19,259.16",2025-03-07 13:27:16,"CRC 19,259.16",2025-03-07 13:27:16
4198696000019196165,07 Feb 2025,"CRC 18,300.92",2025-03-07 10:53:54,"CRC 18,300.92",2025-03-07 10:53:54
4198696000019239132,28 Feb 2025,"CRC 15,379.89",2025-03-07 13:27:49,"CRC 15,379.89",2025-03-07 13:27:49
4198696000019239162,26 Feb 2025,"CRC 28,700.33",2025-03-07 13:30:58,"CRC 28,700.33",2025-03-07 13:30:58
4198696000019239176,04 Mar 2025,"CRC 22,517.05",2025-03-07 13:31:14,"CRC 22,517.05",2025-03-07 13:31:14
4198696000019239190,06 Mar 2025,"CRC 8,081.90",2025-03-07 13:32:12,"CRC 8,081.90",2025-03-07 13:32:12
4198696000019569631,25 Feb 2025,"CRC 3,778.72",2025-03-11 15:41:30,"CRC 3,778.72",2025-03-11 15:41:30
4198696000019757732,12 Feb 2025,"CRC 19,802.32",2025-03-13 15:27:29,"CRC 19,802.32",2025-03-13 15:27:29
4198696000019757734,25 Feb 2025,CRC 0.93,2025-03-13 15:27:29,CRC 0.93,2025-03-13 15:27:29
4198696000019797579,08 Mar 2025,"CRC 40,670.96",2025-03-14 14:40:44,"CRC 40,670.96",2025-03-14 14:40:44
4198696000019850035,13 Mar 2025,"CRC 12,204.00",2025-03-14 16:01:02,"CRC 12,204.00",2025-03-14 16:01:02
4198696000019797593,10 Mar 2025,"CRC 24,408.00",2025-03-14 14:40:59,"CRC 24,408.00",2025-03-14 14:40:59
4198696000019797621,13 Mar 2025,"CRC 46,989.92",2025-03-14 14:41:49,"CRC 46,989.92",2025-03-14 14:41:49
4198696000019850077,12 Mar 2025,"CRC 33,027.92",2025-03-14 16:01:40,"CRC 33,027.92",2025-03-14 16:01:40
4198696000019850049,13 Mar 2025,"CRC 212,259.20",2025-03-14 16:01:16,"CRC 212,259.20",2025-03-14 16:01:16
4198696000019794348,10 Mar 2025,"CRC 6,963.63",2025-03-14 10:42:36,"CRC 6,963.63",2025-03-14 10:42:36
4198696000019794316,03 Mar 2025,"CRC 11,752.00",2025-03-14 10:14:16,"CRC 11,752.00",2025-03-14 10:14:16
4198696000019794060,07 Mar 2025,"CRC 7,015.63",2025-03-14 09:50:32,"CRC 7,015.63",2025-03-14 09:50:32
