Expense ID,Customer ID,Vendor ID,Expense Date,Is Billable,Total (BCY),Paid Through,Created Time,Status,Sub Total (BCY),Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Merchant ID,Merchant Name,User ID,Report ID,Report Number,Employee Paid Through,Currency Code,Exchange Rate,Last Modified Time
4198696000034327336,,4198696000000960013,15 Oct 2025,No,"CRC 4,923.76",4198696000000298225,2025-11-07 14:16:21,Non-Billable,"CRC 4,357.31",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:21
4198696000034327812,,4198696000000960013,15 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:25,Non-Billable,"CRC 5,000.00",0.00,,,,39244.00,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:25
4198696000034330144,,4198696000000960013,15 Oct 2025,No,"CRC 2,000.00",4198696000000298225,2025-11-07 14:16:42,Non-Billable,"CRC 1,769.91",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:42
4198696000034327364,,4198696000000960013,15 Oct 2025,No,CRC 76.24,4198696000000298225,2025-11-07 14:16:21,Non-Billable,CRC 76.24,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:21
4198696000034330088,,4198696000000960013,15 Oct 2025,No,"CRC 1,975.00",4198696000000298225,2025-11-07 14:16:42,Non-Billable,"CRC 1,747.79",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:42
4198696000034327224,,4198696000000960013,15 Oct 2025,No,"CRC 14,009.74",4198696000000298225,2025-11-07 14:16:20,Non-Billable,"CRC 12,398.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:20
4198696000034330060,,4198696000000960013,15 Oct 2025,No,"CRC 3,500.01",4198696000000298225,2025-11-07 14:16:42,Non-Billable,"CRC 3,097.35",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:42
4198696000034328798,,4198696000000960013,15 Oct 2025,No,CRC 620.00,4198696000000298225,2025-11-07 14:16:32,Non-Billable,CRC 620.00,0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:32
4198696000034330032,,4198696000000960013,14 Oct 2025,No,"CRC 3,000.00",4198696000000298225,2025-11-07 14:16:41,Non-Billable,"CRC 2,654.87",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:41
4198696000034327756,,4198696000000960013,14 Oct 2025,No,"CRC 5,000.00",4198696000000298225,2025-11-07 14:16:24,Non-Billable,"CRC 5,000.00",0.00,,,,,NonMileage,,,,,,,CRC,1.00,2025-11-07 14:16:24
