Item_ID,inv.SKU,On_Hand_Qty
4198696000001614266,522-0143,1
4198696000001614302,522-0181,3
4198696000001614338,522-0085,1
4198696000001614374,522-0079,1
4198696000001614410,522-0047,2
4198696000001614446,522-0023,1
4198696000001614482,522-0147,1
4198696000001614518,522-0036,0
4198696000001614554,522-0030,1
4198696000001614590,522-0083,2
4198696000001614626,522-0039,2
4198696000001614662,522-0122,0
4198696000001614698,522-0108,2
4198696000001614734,522-0100,2
4198696000001614770,522-0161,4
4198696000001614806,522-0107,5
4198696000001614842,522-0033,0
4198696000001614878,522-0175,2
4198696000001614914,522-0187,1
4198696000001614950,522-0004,2
4198696000001614986,522-0112,0
4198696000001615022,522-0170,2
4198696000001615058,522-0020,2
4198696000001615094,522-0138,0
4198696000001615130,522-0106,2
4198696000001615166,522-0054,0
4198696000001615202,522-0084,4
4198696000001615238,522-0001,2
4198696000001615274,522-0068,1
4198696000001615310,522-0011,4
4198696000001615346,522-0074,0
4198696000001615382,522-0160,2
4198696000001629564,509-0203,1
4198696000001629744,72-3090,2
4198696000001629990,800-062,0
4198696000001663055,509-3539,1
4198696000001674225,800-072,0
4198696000001674778,526-0003,4
4198696000001674814,526-0007,4
4198696000001674850,526-0011,0
4198696000001674886,526-0015,1
