Item_ID,SKU,Sales_24M_Qty,Sales_24M_Net
4198696000020072837,800-2905,4,38000
4198696000020072314,800-2902,1,7800
4198696000020033961,800-2898,1,22500
4198696000020033267,800-2891,3,16470
4198696000020030303,800-2889,3,58807.08
4198696000019996096,800-2886,1,21400
4198696000019941515,800-2883,1,4000
4198696000019922999,524-0686,3,30388
4198696000019922563,800-2878,1,17664
4198696000019870482,800-2874,1,37500
4198696000019870041,800-2870,2,218500
4198696000019847793,800-2864,1,41000
4198696000019841664,130-091,58,129555.56
4198696000019836498,800-2860,1,33800
4198696000019827998,800-2856,1,73500
4198696000019827034,800-2855,2,45740
4198696000019802805,800-2868,2,229000
4198696000019802423,505-047,9,19736.51
4198696000019802252,800-2867,3,41000
4198696000019785073,800-2852,4,67200
4198696000019778549,529-113,4,210930
4198696000019778307,800-2845,4,26400
4198696000019778028,800-2841,1,6000
4198696000019764960,800-2837,1,50400
4198696000019671748,800-2831,1,10000
4198696000019671390,517-1133,2,44092.92
4198696000019671372,72-3325,2,14000
4198696000019667217,517-1142,5,84640
4198696000019575114,800-2820,2,70280
4198696000019560966,800-2818,8,155284.25
4198696000019560773,534-0087,2,10000
4198696000019560135,800-2814,4,49530
4198696000019511616,800-2810,1,40000
4198696000019414441,800-2806,1,25000
4198696000019394634,800-2802,1,40000
4198696000019394406,800-2798,4,4416
4198696000019394200,800-2794,1,15000
4198696000019300098,72-3324,2,16008
4198696000019243771,800-2790,2,19000
4198696000019243310,800-2787,4,30400
4198696000019192893,800-2786,1,52100
4198696000019192511,510-1078,7,771316
4198696000019183032,517-1131,26,441600
4198696000019183023,517-1130,25,417250
4198696000019179940,800-2777,1,62744
4198696000019129998,129-0003,1,9000
4198696000019076504,800-2754,2,34600
4198696000019076468,800-2750,3,74404
4198696000019076312,800-2748,1,200900
4198696000019073926,800-2746,5,86592.92
4198696000019073704,800-2744,1,12144
4198696000019067807,800-2740,9,173566.37
4198696000019067586,800-2739,1,35000
4198696000019061626,510-1066,2,83300
4198696000019061436,72-3311,7,51844.25
4198696000019056905,512-265,3,34080
4198696000019056149,72-3317,3,25988
4198696000019011701,800-2728,4,4000
4198696000019011081,800-2725,1,16100
4198696000018954037,800-2723,1,96100
4198696000018934858,800-2720,3,61216
4198696000018934577,800-2717,2,13800
4198696000018934335,800-2713,1,16400
4198696000018926779,510-1063,2,165120
4198696000018914369,800-2706,1,115000
4198696000018902978,72-3314,6,55400
4198696000018902546,509-3543,1,12900
4198696000018902226,72-3331,3,29545.2
4198696000018863859,800-2698,2,114624
4198696000018863241,800-2695,2,18200
4198696000018843673,800-2691,2,88000
4198696000018843015,800-2689,1,24300
4198696000018837278,800-2685,1,9630
4198696000018835625,800-2680,2,19688
4198696000018835461,800-2676,1,12000
4198696000018835421,800-2672,1,28000
4198696000018835111,72-3310,2,14400
4198696000018794628,800-2669,1,36524
4198696000018788524,528-0100,3,42700
4198696000018788257,800-2662,2,406456
4198696000018786052,800-2659,2,12000
4198696000018731886,517-1121,7,250476.78
4198696000018731877,517-1120,5,180688.78
4198696000018731469,130-087,4,18400
4198696000018731232,524-0680,1,42044
4198696000018727815,72-3309,2,8280
4198696000018727460,510-052,7,1152668.76
4198696000018712502,800-2642,1,12200
4198696000018712031,533-149,5,167797.31
4198696000018712022,533-148,5,167797.31
4198696000018712005,533-146,5,157824
4198696000018673216,800-2637,2,68800
4198696000018673083,800-2634,1,6440
4198696000018668417,106-2041,8,57616.73
4198696000018668408,106-2040,9,271140.53
4198696000018668160,12-1029,17,2318138.41
4198696000018668142,12-1027,6,920610
4198696000018668133,12-1026,21,1618367.43
4198696000018668115,12-1023,3,390037.16
4198696000018668106,12-1021,10,1122252.65
4198696000018668097,12-1020,30,2499000
4198696000018668088,12-1010,10,1368586.2
4198696000018668079,12-1009,27,2013810
4198696000018668061,12-1006,10,771605.48
4198696000018668043,12-1004,5,718180
4198696000018668034,12-1003,7,936587.61
4198696000018668025,12-1001,5,631486.73
4198696000018668016,12-1000,10,1065453.1
4198696000018668007,351-2051,6,264823.01
4198696000018627971,351-2025,4,171782.92
4198696000018627962,351-2017,3,161362.39
4198696000018627944,67-1039,6,610725.66
4198696000018627926,67-1036,6,453510.8
4198696000018627917,67-1030,2,178000
4198696000018627899,67-1027,1,67699.12
4198696000018627881,67-1007,2,158000
4198696000018627863,67-1005,3,223681.42
4198696000018627827,259-1032,3,28407.08
4198696000018627809,259-1029,10,90704.66
4198696000018627773,259-1023,7,68837.17
4198696000018627746,259-1017,1,9500
4198696000018627737,259-1015,27,272641.09
4198696000018627719,259-1012,2,12273.7
4198696000018627692,259-1009,15,109890
4198696000018627674,259-1007,1,16548.67
4198696000018523857,524-0679,1,5100
4198696000018523362,800-2626,1,10700
4198696000018523215,510-1058,3,206323.01
4198696000018519129,72-3304,7,45800.44
4198696000018476748,800-2621,2,69600
4198696000018476489,800-2618,1,82900
4198696000018476001,800-2613,1,8990
4198696000018430343,800-2609,8,88474
4198696000018430010,800-2607,2,161552
4198696000018367316,72-3303,5,35652.88
4198696000018367307,72-3302,10,71172.88
4198696000018360510,800-2601,1,5400
4198696000018308457,800-2598,1,22123.9
4198696000018262403,517-1116,2,53982.02
4198696000018234937,800-2594,1,33300
4198696000018234482,800-2593,7,110751.77
4198696000018234162,800-2591,1,39000
4198696000018200267,534-0086,6,27600
4198696000018194889,72-3300,7,57914.6
4198696000018185603,800-2588,8,24800
4198696000018177596,800-2585,4,96048
4198696000018177251,800-2581,1,61000
4198696000018170814,800-2575,1,9200
4198696000018170458,510-1056,2,187200
4198696000018170058,517-1115,3,107897.35
4198696000018140134,72-3299,2,17000
4198696000018067866,376-3185,1,3338.05
4198696000018059677,800-2562,3,67445
4198696000018059322,130-079,4,30800
4198696000018053898,800-2555,1,18500
4198696000017991003,800-2552,2,26600
4198696000017986590,800-2548,1,71700
4198696000017936730,800-2544,1,33580
4198696000017936243,800-2541,3,101200
4198696000017831069,800-2539,1,30000
4198696000017826001,800-2536,1,88500
4198696000017818347,800-2533,1,13524
4198696000017818093,800-2529,2,39800
4198696000017812065,72-3296,2,14430
4198696000017812035,800-2523,2,24104
4198696000017767605,800-2519,2,62935.78
4198696000017767388,512-1028,4,13279.64
4198696000017761543,800-2515,1,7800
4198696000017756122,800-2510,1,111500
4198696000017740234,509-3542,4,39552
4198696000017698496,800-2509,1,35420
4198696000017698123,800-2505,1,27500
4198696000017650142,800-2504,4,38000
4198696000017644696,800-2501,1,61490
4198696000017644376,800-2497,2,52058.09
4198696000017641973,343-24,5,19044.32
4198696000017641863,800-2495,2,16800
4198696000017634774,800-2491,1,14500
4198696000017634664,800-2487,1,8000
4198696000017627780,800-2485,3,153688
4198696000017627075,3-207,9,25380
4198696000017581950,522-0213,6,178800
4198696000017581598,376-3181,1,5000
4198696000017581100,517-1113,10,300360
4198696000017568554,800-2481,2,76000
4198696000017496812,800-2480,1,3100
4198696000017482124,517-1111,12,352640
4198696000017476731,800-2476,8,60520.28
4198696000017476460,517-1110,2,57776
4198696000017476105,376-3180,2,8495.58
4198696000017385096,800-2472,4,77952
4198696000017352227,800-2469,1,39700
4198696000017213937,130-1003,5,81855.83
4198696000017182937,526-1004,2,23040
4198696000017182255,800-2463,1,24840
4198696000017111878,510-1053,8,621051.34
4198696000017111221,800-2455,4,15600
4198696000017105476,800-2450,1,24006
4198696000017018148,800-2449,4,79200
4198696000017005890,800-2447,6,35384
4198696000017003839,800-2443,1,28000
4198696000017003141,800-2438,8,33120
4198696000016994434,800-2446,2,191544
4198696000016994305,72-3194,2,20200
4198696000016988602,800-2436,3,121800
4198696000016983489,72-3289,2,16988
4198696000016976412,800-2434,1,18900
4198696000016976028,534-0080,6,35216
4198696000016933464,521-0051,1,17500
4198696000016933169,72-3286,2,13356.67
4198696000016879612,524-0667,2,15951
4198696000016846799,518-0614,5,227052
4198696000016846031,517-1103,4,147636.18
4198696000016846001,517-1101,4,138456.71
4198696000016823387,517-1100,7,248300.96
4198696000016823060,800-2430,2,34952
4198696000016778706,72-3284,6,50623.04
4198696000016776224,533-142,7,225592.92
4198696000016775626,800-2424,2,100000
4198696000016775138,800-2422,5,76500
4198696000016723847,800-2421,1,14000
4198696000016723650,800-2417,1,68816
4198696000016723220,800-2414,1,14000
4198696000016633870,800-2410,1,11100
4198696000016620873,800-2409,1,40000
4198696000016620790,533-139,10,345084
4198696000016620605,800-2406,2,45800
4198696000016620352,800-2404,1,96876
4198696000016620116,800-2403,1,5000
4198696000016430779,509-2041,1,52700
4198696000016430139,511-2006,1,75532
4198696000016393186,800-2396,3,84467.61
4198696000016393177,800-2395,4,112967.61
4198696000016393005,522-0206,2,44000
4198696000016373109,511-2004,1,59700
4198696000016370792,72-3281,7,42261.17
4198696000016370489,44-1147,4,4992
4198696000016370397,510-1051,6,417858.8
4198696000016370005,800-2387,1,25000
4198696000016366066,511-2000,3,143665
4198696000016362857,800-2385,4,21600
4198696000016362501,800-2384,6,207498
