Creditnotes refund ID,Refund Date,Account ID,Amount (BCY),Created Time,Last Modified Time
4198696000018320543,19 Feb 2025,4198696000000418009,"CRC 41,800.00",2025-02-19 11:54:00,2025-02-19 11:54:00
4198696000018361291,19 Feb 2025,4198696000000375167,"CRC 70,200.00",2025-02-19 14:19:18,2025-02-19 14:19:18
4198696000018361527,19 Feb 2025,4198696000000418009,"CRC 5,336.00",2025-02-19 15:02:21,2025-02-19 15:02:21
4198696000018413262,20 Feb 2025,4198696000000375167,"CRC 29,000.00",2025-02-20 10:42:08,2025-02-20 10:42:08
4198696000018413324,20 Feb 2025,4198696000000375167,"CRC 19,449.25",2025-02-20 10:51:45,2025-02-20 10:51:45
4198696000018471225,20 Feb 2025,4198696000000375167,"CRC 52,700.00",2025-02-20 12:56:08,2025-02-20 12:56:08
4198696000018471283,20 Feb 2025,4198696000000418009,"CRC 5,800.00",2025-02-20 13:01:41,2025-02-20 13:01:41
4198696000018524620,21 Feb 2025,4198696000000418009,"CRC 3,600.00",2025-02-21 16:24:29,2025-02-21 16:24:29
4198696000018733362,20 Feb 2025,4198696000000375167,"CRC 28,500.00",2025-02-25 15:14:33,2025-02-25 15:14:33
4198696000018744119,26 Feb 2025,4198696000000375167,"CRC 118,036.00",2025-02-26 09:42:23,2025-02-26 09:42:23
4198696000018792498,26 Feb 2025,4198696000000418009,"CRC 12,800.00",2025-02-26 17:11:42,2025-02-26 17:11:42
4198696000018841719,27 Feb 2025,4198696000000375167,"CRC 17,400.00",2025-02-27 15:58:36,2025-02-27 15:58:36
4198696000018888675,28 Feb 2025,4198696000000418009,"CRC 31,800.00",2025-02-28 12:06:04,2025-02-28 12:06:04
4198696000018888701,28 Feb 2025,4198696000000418009,"CRC 1,200.00",2025-02-28 12:06:50,2025-02-28 12:06:50
4198696000018901644,28 Feb 2025,4198696000000418009,"CRC 6,850.00",2025-02-28 15:41:18,2025-02-28 15:41:18
4198696000018922889,03 Mar 2025,4198696000000418009,"CRC 32,000.00",2025-03-03 12:45:49,2025-03-03 12:45:49
4198696000018935043,03 Mar 2025,4198696000000418009,CRC 900.00,2025-03-03 13:03:47,2025-03-03 13:03:47
4198696000018935445,03 Mar 2025,4198696000000418009,"CRC 5,796.00",2025-03-03 14:55:52,2025-03-03 14:55:52
4198696000019007957,04 Mar 2025,4198696000000418009,"CRC 173,000.00",2025-03-04 16:38:36,2025-03-04 16:41:53
4198696000019014651,04 Mar 2025,4198696000000418009,"CRC 2,400.00",2025-03-04 13:40:44,2025-03-04 13:40:44
4198696000019066823,05 Mar 2025,4198696000000418009,"CRC 25,200.00",2025-03-05 13:03:54,2025-03-05 13:03:54
4198696000019066849,05 Mar 2025,4198696000000418009,"CRC 1,750.00",2025-03-05 13:04:08,2025-03-05 13:04:08
4198696000019188496,06 Mar 2025,4198696000000375167,"CRC 63,204.00",2025-03-06 17:50:38,2025-03-06 17:50:38
4198696000019220504,07 Mar 2025,4198696000000375167,"CRC 46,000.00",2025-03-07 12:26:42,2025-03-07 12:26:42
4198696000019246774,07 Mar 2025,4198696000000375167,"CRC 92,000.00",2025-03-07 16:44:18,2025-03-07 16:44:18
4198696000019296721,08 Mar 2025,4198696000000418009,"CRC 70,200.00",2025-03-08 13:11:09,2025-03-08 13:11:09
4198696000019412337,10 Mar 2025,4198696000000418009,"CRC 34,600.00",2025-03-10 16:42:54,2025-03-10 16:42:54
4198696000019681547,12 Mar 2025,4198696000000418009,"CRC 5,060.00",2025-03-12 13:54:18,2025-03-12 13:54:18
4198696000019759677,13 Mar 2025,4198696000000418009,CRC 552.00,2025-03-13 13:36:07,2025-03-13 13:36:07
4198696000019782079,13 Mar 2025,4198696000000418009,"CRC 47,200.00",2025-03-13 15:05:56,2025-03-13 15:05:56
4198696000019831199,14 Mar 2025,4198696000000418009,"CRC 38,200.00",2025-03-14 10:03:16,2025-03-14 10:03:16
4198696000019860422,15 Mar 2025,4198696000000418009,"CRC 70,200.00",2025-03-15 12:37:16,2025-03-15 12:37:16
4198696000019826623,17 Mar 2025,4198696000000418009,"CRC 25,000.00",2025-03-17 10:33:36,2025-03-17 10:33:36
4198696000019826967,17 Mar 2025,4198696000000418009,"CRC 18,600.00",2025-03-17 12:49:45,2025-03-17 12:49:45
4198696000019868519,14 Mar 2025,4198696000000375167,"CRC 4,950.00",2025-03-17 15:28:37,2025-03-17 15:28:37
4198696000020046121,19 Mar 2025,4198696000000418009,"CRC 19,500.00",2025-03-19 16:08:20,2025-03-19 16:08:20
4198696000020069495,20 Mar 2025,4198696000000418009,CRC 968.00,2025-03-20 11:12:28,2025-03-20 11:12:28
4198696000020069692,20 Mar 2025,4198696000000418009,CRC 92.00,2025-03-20 12:02:26,2025-03-20 12:02:26
4198696000020138786,21 Mar 2025,4198696000000418009,"CRC 21,160.00",2025-03-21 11:58:28,2025-03-21 11:58:28
4198696000020182462,21 Mar 2025,4198696000000375167,"CRC 74,000.00",2025-03-21 16:44:34,2025-03-22 09:37:54
4198696000020182493,21 Mar 2025,4198696000000375167,"CRC 134,000.00",2025-03-21 16:44:49,2025-03-21 16:44:49
4198696000020109775,20 Mar 2025,4198696000000418009,"CRC 55,100.00",2025-03-20 14:36:49,2025-03-20 14:36:49
4198696000020116505,20 Mar 2025,4198696000000375167,"CRC 40,700.00",2025-03-20 17:02:12,2025-03-20 17:02:12
4198696000020242014,24 Mar 2025,4198696000000418009,"CRC 11,000.00",2025-03-24 10:21:26,2025-03-24 10:21:26
4198696000020242147,24 Mar 2025,4198696000000418009,"CRC 17,400.00",2025-03-24 11:08:14,2025-03-24 11:08:14
4198696000020264557,24 Mar 2025,4198696000000375167,"CRC 11,700.00",2025-03-25 10:32:57,2025-03-25 10:32:57
4198696000020307308,01 Mar 2025,4198696000000000361,CRC 96.00,2025-03-25 12:35:39,2025-03-25 12:35:39
4198696000020307335,01 Mar 2025,4198696000000000361,CRC 24.00,2025-03-25 12:37:09,2025-03-25 12:37:09
4198696000020307362,01 Mar 2025,4198696000000000361,"CRC 1,400.00",2025-03-25 12:39:03,2025-03-25 12:39:03
4198696000020315699,25 Mar 2025,4198696000000375167,"CRC 31,700.00",2025-03-25 16:22:40,2025-03-25 16:22:40
4198696000020315726,25 Mar 2025,4198696000000375167,"CRC 89,500.00",2025-03-25 16:23:00,2025-03-25 16:23:00
4198696000020437790,27 Mar 2025,4198696000000375167,"CRC 24,012.00",2025-03-27 15:44:44,2025-03-27 15:44:44
4198696000020462605,28 Mar 2025,4198696000000418009,"CRC 12,420.00",2025-03-28 17:07:51,2025-03-28 17:07:51
4198696000020462672,28 Mar 2025,4198696000000418009,"CRC 5,428.00",2025-03-28 17:30:45,2025-03-28 17:30:45
4198696000020620369,31 Mar 2025,4198696000000375167,"CRC 37,500.00",2025-03-31 15:31:31,2025-03-31 15:31:31
4198696000020620400,31 Mar 2025,4198696000000375167,"CRC 13,600.00",2025-03-31 15:31:48,2025-03-31 15:31:48
4198696000020620431,31 Mar 2025,4198696000000418009,"CRC 30,300.00",2025-03-31 15:56:00,2025-03-31 15:56:00
4198696000020629936,01 Apr 2025,4198696000000375167,"CRC 52,300.00",2025-04-01 14:58:20,2025-04-01 14:58:20
4198696000020629969,01 Apr 2025,4198696000000375167,"CRC 50,000.00",2025-04-01 14:59:10,2025-04-01 14:59:10
4198696000020641217,01 Apr 2025,4198696000000418009,"CRC 11,500.00",2025-04-01 15:45:17,2025-04-01 15:45:17
4198696000020743056,02 Apr 2025,4198696000000000361,"CRC 97,888.00",2025-04-02 17:44:31,2025-04-02 17:44:31
4198696000020765281,02 Apr 2025,4198696000000375167,"CRC 58,700.00",2025-04-02 17:36:32,2025-04-02 17:36:32
4198696000020609900,31 Mar 2025,4198696000000418009,"CRC 15,200.00",2025-03-31 12:57:14,2025-03-31 12:57:14
4198696000020689734,02 Apr 2025,4198696000000418009,"CRC 6,100.00",2025-04-02 11:40:43,2025-04-02 11:40:43
4198696000020837659,03 Apr 2025,4198696000000418009,"CRC 9,384.00",2025-04-03 13:57:45,2025-04-03 13:57:45
4198696000020867762,03 Apr 2025,4198696000000375167,"CRC 18,500.00",2025-04-03 16:35:00,2025-04-03 16:35:00
4198696000020963469,05 Apr 2025,4198696000000375167,"CRC 108,000.00",2025-04-05 12:02:56,2025-04-05 12:02:56
4198696000021139100,08 Apr 2025,4198696000000418009,"CRC 7,500.00",2025-04-08 14:28:30,2025-04-08 14:28:30
4198696000021197035,09 Apr 2025,4198696000000375167,"CRC 67,500.00",2025-04-09 11:25:18,2025-04-09 11:25:18
4198696000021336476,12 Apr 2025,4198696000000418009,"CRC 2,100.00",2025-04-12 11:05:01,2025-04-12 11:05:01
4198696000021336646,12 Apr 2025,4198696000000418009,CRC 680.00,2025-04-12 11:39:15,2025-04-12 11:39:15
4198696000021426452,14 Apr 2025,4198696000000418009,"CRC 7,900.00",2025-04-14 14:45:16,2025-04-14 14:45:16
4198696000021426876,14 Apr 2025,4198696000000375167,"CRC 154,836.00",2025-04-14 15:58:34,2025-04-14 15:58:34
4198696000021426945,14 Apr 2025,4198696000000418009,"CRC 1,100.00",2025-04-14 16:01:36,2025-04-14 16:01:36
4198696000021530085,15 Apr 2025,4198696000000418009,"CRC 12,300.00",2025-04-15 09:49:45,2025-04-15 09:49:45
4198696000021546103,15 Apr 2025,4198696000000375167,"CRC 81,000.00",2025-04-15 14:53:19,2025-04-15 14:53:19
4198696000021868159,22 Apr 2025,4198696000000418009,"CRC 3,588.00",2025-04-22 13:36:17,2025-04-22 13:36:17
4198696000021804424,21 Apr 2025,4198696000000418009,"CRC 8,200.00",2025-04-21 17:25:37,2025-04-21 17:25:37
4198696000022146381,25 Apr 2025,4198696000000418009,"CRC 6,600.00",2025-04-25 11:10:01,2025-04-25 11:10:01
4198696000022190607,25 Apr 2025,4198696000000375167,"CRC 59,350.00",2025-04-25 16:30:06,2025-04-25 16:30:06
4198696000022196291,25 Apr 2025,4198696000000418009,"CRC 1,600.00",2025-04-25 17:43:41,2025-04-25 17:43:41
4198696000022253695,28 Apr 2025,4198696000000418009,"CRC 25,000.00",2025-04-28 12:26:13,2025-04-28 12:26:13
4198696000022214407,26 Apr 2025,4198696000000418009,"CRC 16,100.00",2025-04-26 10:49:17,2025-04-26 10:49:17
4198696000022302521,28 Apr 2025,4198696000000418009,"CRC 46,645.00",2025-04-28 16:24:15,2025-04-28 16:24:15
4198696000022450566,30 Apr 2025,4198696000000375167,"CRC 140,000.00",2025-04-30 12:58:10,2025-04-30 12:58:10
4198696000022591536,02 May 2025,4198696000000418009,"CRC 8,000.00",2025-05-02 15:41:07,2025-05-02 15:41:07
4198696000022587629,02 May 2025,4198696000000418009,"CRC 25,600.00",2025-05-02 14:36:15,2025-05-02 14:36:15
4198696000022653721,05 May 2025,4198696000000418009,"CRC 3,000.00",2025-05-05 17:53:36,2025-05-05 17:53:36
4198696000022601718,05 May 2025,4198696000000418009,"CRC 63,800.00",2025-05-05 09:02:25,2025-05-05 09:02:25
4198696000022732574,06 May 2025,4198696000000375167,"CRC 38,700.00",2025-05-06 11:24:36,2025-05-06 11:24:36
4198696000022900111,08 May 2025,4198696000000418009,"CRC 33,200.00",2025-05-08 13:42:30,2025-05-08 13:42:30
4198696000022926368,09 May 2025,4198696000000375167,"CRC 20,392.00",2025-05-09 10:58:48,2025-05-09 10:58:48
4198696000022926438,09 May 2025,4198696000000375167,"CRC 36,472.00",2025-05-09 12:03:44,2025-05-09 12:03:44
4198696000022932418,12 May 2025,4198696000000375167,"CRC 107,800.00",2025-05-12 10:23:28,2025-05-12 10:23:28
4198696000023001233,12 May 2025,4198696000000418009,"CRC 1,472.00",2025-05-12 13:26:26,2025-05-12 13:26:26
4198696000023135132,14 May 2025,4198696000000375167,"CRC 22,000.00",2025-05-14 14:41:04,2025-05-14 14:41:04
4198696000023135163,14 May 2025,4198696000000418009,"CRC 10,000.00",2025-05-14 14:41:46,2025-05-14 14:41:46
4198696000023321253,16 May 2025,4198696000000375167,"CRC 1,500.00",2025-05-16 09:11:33,2025-05-16 09:11:33
4198696000023321353,16 May 2025,4198696000000418009,"CRC 13,700.00",2025-05-16 09:23:40,2025-05-16 09:23:40
4198696000023637252,24 May 2025,4198696000000375167,"CRC 24,000.00",2025-05-24 11:07:18,2025-05-24 11:07:18
4198696000023681036,26 May 2025,4198696000000375167,"CRC 72,000.00",2025-05-26 12:51:55,2025-05-26 12:51:55
4198696000023819659,29 May 2025,4198696000000375167,"CRC 70,200.00",2025-05-29 12:55:43,2025-06-03 13:02:58
4198696000023910242,30 May 2025,4198696000000418009,"CRC 3,600.00",2025-05-30 13:26:15,2025-05-30 13:26:15
4198696000024025348,03 Jun 2025,4198696000000375167,"CRC 63,200.00",2025-06-03 10:22:01,2025-06-10 11:21:58
4198696000024257911,05 Jun 2025,4198696000000418009,"CRC 6,300.00",2025-06-05 15:28:57,2025-06-05 15:28:57
4198696000024327677,06 Jun 2025,4198696000000375167,"CRC 26,900.00",2025-06-06 16:51:02,2025-06-10 11:32:38
4198696000024409527,10 Jun 2025,4198696000000418009,"CRC 18,500.00",2025-06-10 12:50:58,2025-06-10 12:50:58
4198696000024532121,11 Jun 2025,4198696000000418009,"CRC 6,800.00",2025-06-11 12:36:35,2025-06-11 12:36:35
