SKU,Product_ID,Sales_24M_Qty,Sales_24M_Net,Avg_Demand_Used,Avg_Demand_6M,Outstanding_Qty,Last_Purchase_Date,Last_Purchase_Price,On_Hand_Qty,On_Hand_Source,Coverage_Months,On_Hand_Value_LastCost,Reorder_Eligibility,Reorder_Flag,Stock_Shortfall,Months_Short
,4198696000016730134,1,12389.38,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000002375085,1,23008.85,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000015052239,1,15929.2,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000026261261,8,2477.88,8,,,,,,,,,ELIGIBLE,1,8,1
,4198696000034285885,1,12389.38,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019007406,1,4336.28,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025045562,1,34070.8,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000018189254,1,9380.53,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011850703,4,7787.61,4,,,,,,,,,ELIGIBLE,1,4,1
,4198696000023702665,1,111504.42,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000010603155,1,2477.88,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014287753,1,21150.44,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000003102187,1,6371.68,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000026538687,1,9932.74,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000033060555,2,86725.66,2,,,,,,,,,ELIGIBLE,1,2,1
,4198696000006802075,1,2300.88,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000024863598,1,30345.13,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000019155030,1,36371.68,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000006908782,1,5132.74,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000011586408,1,22123.89,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000025327175,1,75221.24,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000014574383,1,24778.76,1,,,,,,,,,ELIGIBLE,1,1,1
,4198696000006121141,1,7168.14,1,,,,,,,,,ELIGIBLE,1,1,1
