b.Product_ID,i.InQty,o.OutQty,On_Hand_Qty
4198696000000897531,1,1,0
4198696000000897900,1,1,0
4198696000000898179,2,2,0
4198696000000898521,1,1,0
4198696000001045533,1,1,0
4198696000001046217,5,5,0
4198696000001046694,5,5,0
4198696000001039699,100,1,99
4198696000001040257,50,1,49
4198696000001040455,21,1,20
4198696000001040590,24,8,16
4198696000001040770,55,4,51
4198696000001041085,24,4,20
4198696000001096439,3,1,2
4198696000001096448,3,1,2
4198696000001096502,4,2,2
4198696000001153072,4,3,1
4198696000001300097,1,1,0
4198696000001363156,1,1,0
4198696000001522119,2,2,0
4198696000001407686,1,1,0
4198696000001407704,3,2,1
4198696000001406669,3,2,1
4198696000001407227,20,9,11
4198696000001406840,4,3,1
4198696000001613753,3,1,2
4198696000001614023,1,1,0
4198696000001614167,5,3,2
4198696000001614680,2,1,1
4198696000001614725,13,13,0
4198696000001614734,6,4,2
4198696000001614950,3,1,2
4198696000001615157,5,3,2
4198696000001615229,4,2,2
4198696000001615283,10,9,1
4198696000001613546,5,4,1
4198696000001611800,4,1,3
4198696000001612133,10,4,6
4198696000001612583,4,3,1
4198696000001611296,6,2,4
4198696000001674904,9,6,3
4198696000001674922,3,1,2
4198696000001685048,6,4,2
4198696000001715775,1,1,0
4198696000001900346,1,1,0
4198696000002192977,3,3,0
4198696000002266129,4,4,0
4198696000002318010,2,1,1
4198696000002584741,4,4,0
4198696000002572698,2,1,1
4198696000002566271,144,129,15
4198696000001615346,4,4,0
4198696000001613240,24,12,12
4198696000003013134,1,1,0
4198696000003065167,4,4,0
4198696000003065318,6,4,2
4198696000003065828,1,1,0
4198696000003059131,1,1,0
4198696000003059177,1,1,0
4198696000003338146,2,2,0
4198696000003678363,4,4,0
4198696000003722414,4,4,0
4198696000003722616,1,1,0
4198696000003776977,3,1,2
4198696000003844774,4,4,0
4198696000003679277,12,5,7
4198696000003972001,3,3,0
4198696000004080051,20,14,6
4198696000004093170,1,1,0
4198696000004093366,2,2,0
4198696000004116154,2,2,0
4198696000004483160,4,3,1
4198696000004417799,51,6,45
4198696000004421637,200,1,199
