Item Name,Count,Amount,Invoice Overdue Count,Invoice Overdue Amount
614018 BCA/NAT EMP CHEVROLET 35MM EJE V,1,"CRC 62,500.00",0.00,0.00
6201DDUC3E NSK 12X32X10 6201 2NSL 6201LL,1,"CRC 126,500.00",0.00,0.00
6204-2RSC3GSP ROL 62042RSC3,1,"CRC 2,392.00",0.00,0.00
6205-2RSC3GSP ROL 62052RSC3,1,"CRC 16,376.00",0.00,0.00
6207 2RSC3 KOYO,1,"CRC 33,400.00",0.00,0.00
"6M8G-12A366 099700-1062 UF-540 921- 2104 BOBINAS DIS MAZDA CX7 2,3L",2,"CRC 490,400.00",0.00,0.00
"84306-OK050 TOYOTA HILUX 10-13 FORTUNER 10-1384306-0K050, 84306- 0K051,84306-12",4,"CRC 165,500.00",0.00,0.00
89467-35011 89467-35090 234-9002 234-9001 234-9003 A/F TACOMA 4 RUNNER,1,"CRC 91,600.00",0.00,0.00
89467-52020  234-9052 89467-12100 TOYOTA YARIS  12- COROLLA 89467-02020 2.5 OM,4,"CRC 449,256.00",0.00,0.00
90048-52125BOBINA DIS DAHIATSU CUORE SIRION CHARADE,1,"CRC 30,500.00",0.00,0.00
"90080-19021 90919-02265 BOBINA IGNICION UF316 YARIZ,ECHO,PRIUZ,UF-316",101,"CRC 5,971,746.03",0.00,0.00
90480-30025 SELLO DE TUBO DE BUJIA 2S 3S 4S 5S,1,"CRC 23,600.00",0.00,0.00
90919-02239 BOBINA IGNICION TOYOTA COROLLA 2009,16,"CRC 941,516.01",0.00,0.00
90919-05070 PC819 90919-05087 90919- 05081 PC271 TOYOTA YARIZ 00-12 PRIUS 0,1,"CRC 30,600.00",0.00,0.00
"90919-C2002 UF-495 BOBIN COROLLA 08-10 2,4LTACOMA 2,7, 04-09 RUNNER V6 4L 02-0",2,"CRC 238,002.52",0.00,0.00
90X104X11 RET KOSS CIG.TRA CHV OPTRA 8-9,1,"CRC 62,500.00",0.00,0.00
927-402 AS5 AS10MAP GMC ELANTRA 90-94 MATIZ DAEWOO,1,"CRC 97,400.00",0.00,0.00
93490-1R410 HYUNDAI ACCENT BLUE KIA RIO 2012+ STA FE 2013+,1,"CRC 30,600.00",0.00,0.00
93490-2B150 HYUNDAI 07-10 SANTA FE,1,"CRC 32,000.00",0.00,0.00
93490-3X040 2011-2013 ELANTRA 2009- 2015 SONATA,3,"CRC 165,152.01",0.00,0.00
96253542 PC549 PC550 CHEVROLET AVEO,1,"CRC 27,500.00",0.00,0.00
96476979 UF-620 CAFEBOBINA 7PIN AVEO 09-11 CRUZE 11-13SONICPAQUETEGRIS,4,"CRC 233,240.00",0.00,0.00
A/C 35X52X22 A&S,3,"CRC 37,800.00",0.00,0.00
ABANICO RADIADOR HONDA CR-V 2002-2005,1,"CRC 82,000.00",0.00,0.00
ABRILLANTADOR MULTIUSO 1 GALON,2,"CRC 63,900.00",0.00,0.00
ABRILLANTADOR MULTIUSO 240 ML,6,"CRC 38,150.00",0.00,0.00
