s.Product_ID,s.Month_Year,s.Total_Quantity,s.Net_Sales,itf.Available_Stock,itf.Cost_Fallback,lp.Last_Purchase_Price,Stock_On_Hand
4198696000004417943,2024-06,1,22389.38,314,"CRC 14,000.00",9185,314
4198696000000141094,2024-09,1,2353.98,37,CRC 908.16,709.5,37
4198696000003594538,2025-03,1,2116.81,27,"CRC 1,413.00",1500,27
4198696000007812335,2025-03,1,13716.81,189,"CRC 7,600.00",5065.5,189
4198696000020885436,2025-04,2,7978.76,2,"CRC 3,200.00",3200,2
4198696000021831651,2025-04,1,19911.5,0,"CRC 14,700.00",14700,0
4198696000006753882,2025-04,1,23008.85,4,"CRC 17,000.00",17000,4
4198696000000588340,2025-05,2,3716.81,68,"CRC 1,500.00",1499.3000000000002,68
4198696000000844228,2025-05,1,1194.69,27,CRC 885.00,920,27
4198696000001937010,2025-05,1,6473.45,5,"CRC 4,975.00",11666.57,5
4198696000000141805,2025-06,1,39893.81,0,"CRC 25,329.92",19789,0
4198696000011909037,2025-07,3,5861.95,12,"CRC 1,450.00",1450,12
4198696000015527335,2025-08,3,8304.42,20,"CRC 2,218.50",2218.5,20
4198696000000862903,2025-07,1,8955.75,8,"CRC 7,182.00",7182,8
4198696000000836232,2024-01,1,2389.38,12,"CRC 2,080.00",2080,12
4198696000000836985,2024-02,1,2212.39,38,"CRC 1,800.00",2300,38
4198696000000142075,2024-03,1,2212.39,92,"CRC 1,200.00",753.5,92
4198696000000602419,2024-04,4,11681.42,332,"CRC 2,373.00",2562.15,332
4198696000003396171,2024-10,1,12566.37,2,"CRC 10,298.15",10298.15,2
4198696000011274060,2024-10,1,21681.42,1,"CRC 15,900.00",15900,1
4198696000004417763,2024-11,1,20088.5,115,"CRC 10,000.00",6435,115
4198696000009345212,2024-12,1,27600,4,"CRC 22,175.00",22175,4
4198696000000139861,2024-12,2,884.96,56,CRC 154.88,121,56
4198696000018234134,2025-02,1,23362.83,0,"CRC 15,400.00",15400,0
4198696000006120547,2024-06,2,13619.47,0,"CRC 5,290.00",5290,0
4198696000000865153,2024-07,1,7699.12,3,"CRC 5,653.22",5653.22,3
4198696000009774070,2024-09,1,7345.13,0,"CRC 5,400.00",5400,0
4198696000018914369,2025-03,1,101769.91,0,"CRC 68,990.00",68990,0
4198696000000861337,2025-03,1,10619.47,11,"CRC 7,840.41",7840.410000000001,11
4198696000007811705,2025-03,2,8141.59,103,"CRC 2,300.00",1133,103
4198696000000602419,2025-03,4,13097.35,332,"CRC 2,373.00",2562.15,332
4198696000004126861,2025-04,4,33769.91,10,"CRC 6,927.50",6927.5,10
4198696000015527586,2025-07,1,2566.37,4,"CRC 1,858.40",1858.3999999999999,4
4198696000003454545,2025-07,1,28407.08,0,"CRC 20,196.32",20196.32,0
4198696000022082663,2025-04,1,8522.12,0,"CRC 6,990.00",6990,0
4198696000026427490,2025-07,2,18407.08,0,"CRC 6,800.00",6800,0
4198696000000602590,2023-12,1,19557.52,28,"CRC 16,285.71",16285.71,28
4198696000000140887,2024-02,1,2743.36,496,"CRC 1,330.56",1039.5,496
4198696000000602419,2024-10,5,12831.86,332,"CRC 2,373.00",2562.15,332
4198696000013400204,2024-12,1,59292.04,0,"CRC 43,900.00",43900,0
4198696000010046919,2024-12,1,33097.35,1,"CRC 24,500.00",24500,1
4198696000000865648,2025-03,1,19865.49,1,"CRC 15,944.96",15944.96,1
4198696000007811399,2025-03,1,1238.94,992,CRC 670.00,445.5,992
4198696000003594538,2025-07,3,5548.67,27,"CRC 1,413.00",1500,27
4198696000009249432,2025-10,2,1061.95,5,CRC 266.65,266.65,5
4198696000003594538,2025-10,1,2477.88,27,"CRC 1,413.00",1500,27
4198696000000860905,2025-10,1,7083,2,"CRC 4,724.56",4724.56,2
4198696000027382402,2025-07,1,29391.15,0,"CRC 23,611.20",23611.2,0
4198696000001108207,2023-11,4,66902.65,0,"CRC 14,000.00",14000,0
4198696000002744148,2024-01,1,5575.22,1,"CRC 5,100.00",5100,1
4198696000001615094,2024-02,2,29734.51,0,"CRC 14,127.71",14127.71,0
4198696000001614608,2024-03,1,20796.46,0,"CRC 22,838.75",22838.75,0
4198696000000144604,2024-09,1,18053.1,20,"CRC 10,000.00",7018,20
4198696000012467652,2024-11,1,33097.35,0,"CRC 24,483.60",24483.6,0
4198696000000844228,2024-12,2,2477.88,27,CRC 885.00,920,27
4198696000015950461,2025-01,1,29026.55,1,"CRC 21,500.00",21500,1
4198696000007811705,2025-02,2,8141.59,103,"CRC 2,300.00",1133,103
